"","neigh","landuse","property","size","tot","net","build_year","out","assessed_value"
"1",0.803617571059432,0.390342052313883,"RESIDENTIAL",0.0244439006985226,0.00682205516275049,0.00118884674696787,43,0.286258553565529,473500
"2",0.803617571059432,0.390342052313883,"RESIDENTIAL",0.0259865253492809,0.00104840031998569,0.00096769891218272,81,0.283555524999481,386000
"3",0.803617571059432,0.390342052313883,"RESIDENTIAL",0.0259851745396042,0.00145583551543037,0.00110748968449131,47,0.275199575962039,641000
"4",0.803617571059432,0.390342052313883,"RESIDENTIAL",0.0259838237299275,0.000973869491550688,0.000985204017838536,61,0.272414233386255,553500
"5",0.803617571059432,0.390342052313883,"RESIDENTIAL",0.0233862167216892,0.0013763359650997,0.00135697911890968,86,0.269752382113963,456000
"6",0.89405684754522,0.448692152917505,"MULTI-RES",0.00247527768391902,0.0104293472590046,0.0175057058308673,53,0.544503617167363,3042500
"7",0.89405684754522,0.448692152917505,"MULTI-RES",0.00206989969995005,0.00972378874981988,0.0163231859292294,52,0.544565725277625,2888500
"8",0.89405684754522,0.138832997987928,"URBAN",0.0318922652556865,0,8.33576459800775e-06,24,0.546473199565515,6063000
"9",0.940568475452196,0.327967806841046,"MULTI-RES",0.00161535224375026,0.00102355671050736,0.00172808735881299,25,0.558187952505469,731500
"10",0.940568475452196,0.448692152917505,"MULTI-RES",0.00158739048344317,0.00478487918552711,0.00805143166756971,43,0.558320107814163,1615000
"11",0.940568475452196,0.448692152917505,"MULTI-RES",0.00161697321536226,0.00483953512637944,0.00814120785229025,45,0.558400206520498,1503000
"12",0.364341085271318,0.448692152917505,"MULTI-RES",0.00383797448574473,0.0134751737810483,0.0226215979660734,43,0.560965453361266,3526000
"13",0.364341085271318,0.448692152917505,"MULTI-RES",0.00377583724061786,0.0136639852130836,0.0229327720585171,13,0.558755347009073,4743500
"14",0.364341085271318,0.275653923541247,"COMMERCIAL",0.00186633268167573,0.00267317237986873,0.0044991455841287,23,0.559735631422655,976000
"15",0.677002583979328,0.3158953722334,"COMMERCIAL",0.0141345212461695,0.0107821265135969,0.0088322344017005,25,0.563319642726886,7578500
"16",0.677002583979328,0.3158953722334,"COMMERCIAL",0.0627177420773189,0.0717682190610109,0.0980846080106698,22,0.564167309441585,24099000
