"","neigh","size","tot","landuse","net","build_year","out","assessed_value"
"2280",0.213541666666667,0.00284200244160581,0.0261719799838745,0.0909090909090909,0.0246802281647702,41,0.70049255687035,2232000
"2281",0.213541666666667,0.00308272155156353,0.00469687855945327,0.402020202020202,0.00469943570041256,56,0.698103489737954,968500
"2282",0.213541666666667,0.00308272155156353,0.0160231388458733,0.228282828282828,0.0160308092547298,51,0.697280698709003,1565000
"2283",0.213541666666667,0.00277626819706612,0.0139754533703623,0.402020202020202,0.013978108026896,51,0.696450598518188,1456500
"2284",0.213541666666667,0.0283927040995047,0.0773001267005388,0.228282828282828,0.0764144114441191,28,0.694556669079376,8115500
"2285",0.213541666666667,0.00571822040024126,0.0330317263268362,0.228282828282828,0.0330396437715116,45,0.691302692579379,2946500
"2286",0.213541666666667,0.014451834550063,0.02719582272163,0.402020202020202,0.0250316620001006,46,0.69051107467431,3691500
"2287",0.213541666666667,0.00273030019389151,0.0170725776520726,0.402020202020202,0.0157697294935957,50,0.688406285946449,1651000
"2288",0.213541666666667,0.0025770735166428,0.0154984194427736,0.228282828282828,0.0130658902222827,48,0.687623722797225,1496500
"2289",0.213541666666667,0.0110505087684962,0.0551211333939107,0.228282828282828,0.055123664076299,38,0.688189163303665,4803000
"2290",0.213541666666667,0.0025770735166428,0.00915059446868961,0.402020202020202,0.00915570887820029,45,0.686793311644145,1205500
"2291",0.213541666666667,0.00571822040024126,0.0047352726621191,0.402020202020202,0.0047429489939349,49,0.686064868811065,1219500
"2292",0.213541666666667,0.0110505087684962,0.0339147906881503,0.228282828282828,0.0311132846712227,42,0.686713733045132,3714000
"2293",0.213541666666667,0.00272386467344706,0.00728208147228586,0.402020202020202,0.00728758080306624,44,0.684191332138992,1154500
"2294",0.213541666666667,0.00332788423516146,0.00821633797048773,0.402020202020202,0.00822017306747001,56,0.682769508288548,1161000
"2295",0.213541666666667,0.0131478755266765,0.0320846717944124,0.228282828282828,0.0320895182094239,48,0.680511716992038,3947000
"2296",0.213541666666667,0.0066363546503155,0.0425278677195183,0.228282828282828,0.0425273974733699,46,0.681183813082679,3431500
"2297",0.783854166666667,0.0119698688319884,0.0899573825460409,0.21010101010101,0.0641897867619533,48,0.676940520904496,5169000
"2298",0.783854166666667,0.0111395334679777,0.0279381087065027,0.226262626262626,0.0279441603118808,44,0.678324343080684,1962000
"2299",0.783854166666667,0.0112343807811946,0.024700206048351,0.228282828282828,0.0203539829464492,53,0.674430492997931,2460500
"2300",0.783854166666667,0.0122303541833112,0.0281812713567196,0.228282828282828,0.0236430760156377,46,0.674970826886183,3258500
"2301",0.3828125,0.869322160575214,0.055722641002342,0.535353535353535,0.0557311352499258,56,0.572028922441099,44701500
"2302",0.864583333333333,0.00750300473683418,0.0266839013527522,0.228282828282828,0.0266954055759547,37,0.764258936170226,3156000
"2303",0.864583333333333,0.0440708577155922,0.0672664678705351,0.228282828282828,0.0672725244356259,38,0.760810141450779,7368000
"2304",0.864583333333333,0.0205965307610905,0.0545836159565891,0.228282828282828,0.0514560053534661,38,0.756561745551072,5572500
